User Speed (m/s),User Direction (degrees),Handover Events,Distance from Base Station (m),Signal Strength (dBm),SNR (dB),BER,Modulation Scheme,PDR (%),Network Congestion,Throughput (Mbps),Latency (ms),Retransmission Count,Power Consumption (mW),Battery Level (%),Transmission Power (dBm),RF Link Quality
11.236203565420874,141.70878729987916,3,87.09136366330267,-87.88623663202661,9.873987400837763,0.017131499240580033,16-QAM,92.76408916214888,High,40.29023405343297,57.97340571817219,5,726.9554726068014,49.62342362696387,27.779603115514252,Poor
28.521429192297486,170.4368373750077,1,199.78227845001808,-75.51012010590671,17.805576436188474,0.011505746641696716,BPSK,87.70538477550912,Low,46.7174067449136,70.77919681262367,8,202.78468020084435,59.11075985295435,22.489907914774626,Moderate
21.959818254342153,307.6370615527849,4,912.157091093676,-75.47131525646108,15.971375704200145,0.03130955564061996,16-QAM,60.13994903075391,Low,26.017348638321437,63.308718508983496,1,335.3437591338671,25.250543640192138,8.36650613913588,Poor
17.959754525911098,122.40157898156117,2,29.106140904714913,-80.94651162281892,11.769882408685335,0.002073581393879137,64-QAM,79.18839486126677,Medium,81.91811533996058,28.11638882245789,9,691.2542654705214,55.40285161396514,28.424881963220944,Poor
4.680559213273096,313.07388653238166,2,656.8976049326185,-91.08729090940115,9.013502165043995,0.008954095535243454,64-QAM,87.86828603127705,High,10.107564969477968,55.81728267722844,9,201.0390964715317,75.87263888119752,28.055728234946972,Poor
4.679835610086079,31.728395151608936,2,390.56484160603304,-99.73757925394123,12.780971716688843,0.014738027159164358,BPSK,62.791435227351975,High,70.77420323892396,25.206777648553672,8,919.2306236967856,55.69906462878361,19.785564819386536,Poor
1.7425083650459838,279.6474373951071,0,675.9222520380474,-41.785896254318764,17.717083192193233,0.034198954176457894,BPSK,76.38604006847265,Medium,53.85896802579601,59.29480953090537,8,529.7357602013042,50.663210402378944,29.550106711547016,0
25.985284373248057,305.11714789970506,0,592.8048031597705,-43.39004621776438,6.458331807120041,0.043805657640798294,BPSK,65.72302019868852,Low,24.950768642585533,43.761527400040706,9,966.7517413049528,48.92663869677494,5.617447364423803,Poor
18.033450352296263,65.45435502144196,2,231.26376681109784,-70.98097724943189,8.8436007145989,0.03994473935059742,64-QAM,61.27877086635105,High,49.790216879870826,4.902419451362487,8,273.25966475644736,77.35416535558636,21.941710787631003,Poor
21.242177333881365,154.92475165399216,3,848.7373926976546,-40.296894803499654,28.691431674227385,0.009185838569187718,16-QAM,98.47946633854264,Medium,83.16496012722631,73.66458304946175,8,127.56194851546047,76.5672686107959,4.565283408952267,Good
0.6175348288740734,59.579918878916025,3,497.0209787832631,-59.580740153065406,18.571383775783474,0.028313747346209346,BPSK,95.62909801934632,High,45.09871878829051,28.1919753559625,2,631.2532672508283,76.25667165459102,20.750736240431838,0
29.09729556485983,254.3774864379184,0,824.310658724337,-95.86854774354751,6.586232591500947,0.0015981300026998932,16-QAM,72.28338654757435,High,13.06787872658274,92.09924115824786,9,395.86454852773045,28.38614980166067,27.59555459126429,Poor
24.973279224012654,192.7251965021964,2,411.95241082633703,-92.93690805504235,22.327193969239325,0.015595785090107771,QPSK,56.83890305319882,Medium,5.039394251020457,28.775166924521823,8,615.1514879108177,63.70002194719741,16.08292684600858,Poor
6.370173320348284,228.71640481499557,3,984.8386983760867,-45.033349367821735,6.545071751975868,0.040318591361933505,16-QAM,86.39536516603243,High,78.00183311724213,99.66565157038195,9,526.2851536468625,78.99619473593067,22.891999125803544,Poor
5.454749016213018,70.73530810423601,0,772.7844649162834,-62.19686787102229,23.471855676159326,0.02288761911579264,16-QAM,62.78505650641101,Medium,33.71288143757002,46.832165612905165,8,511.4405503517328,58.379955589550434,4.293651858313278,Poor
5.502135295603015,76.22851033887103,2,966.2907030614477,-49.40898240055893,23.749068043000673,0.007582071981564145,64-QAM,58.42589029190472,Medium,93.19322496083946,3.614324639316254,2,866.0598708737544,79.00284810131978,18.995837111693014,Poor
9.127267288786133,14.939037183566292,1,519.1832141207602,-46.103821021969345,21.276974393731315,0.021983813736266802,16-QAM,69.07645088690923,High,62.097570919051726,8.55062920181473,3,272.6506035629319,86.16832284026,1.8957568839694339,Poor
15.742692948967136,115.94431267046271,2,478.95422096779345,-73.12347932305684,23.30511361548374,0.009981842980565191,64-QAM,76.49249045833696,High,44.19210522564813,9.12671355732632,3,549.6714231471735,21.51955565825373,1.1069362852576858,Moderate
12.958350559263472,201.50807808012297,2,757.8992712320053,-97.08844290539842,7.199144525326444,0.019720253747411744,QPSK,54.87201649102073,Low,56.882027094920545,6.5652276796726685,3,474.4038354354072,34.10237842752326,19.021877479084335,Poor
8.736874205941257,308.8565690390384,4,881.4883503832959,-88.70317906616067,23.16951380888169,0.024442890290117383,64-QAM,78.58732365242633,Low,46.25613184635063,27.5111505673874,6,706.3924790595861,62.12441617568343,17.184257404984695,Poor
18.355586841671386,240.09388108512505,4,964.5043379069025,-96.0056831618539,8.417207993097074,0.017542949814300317,QPSK,50.76741873813108,High,90.67529715594536,33.1342940858484,4,145.11940004651103,32.519446702936776,9.87753425562843,Poor
4.184815819561255,156.74267642391052,1,331.3063869721747,-88.67560925808957,13.487647681796096,0.046854750626649656,QPSK,94.59345302965434,Low,46.34416506736179,12.017300545950556,6,576.4783977715642,94.43161088823231,15.387888305332583,Poor
8.764339456056545,343.1232411818896,1,800.7175281042125,-75.3680244126474,28.56863133751582,0.028170261848063458,BPSK,96.03708446394333,Low,11.30238635028599,44.37501699533727,5,530.6865908768541,23.442752793532478,20.530204503095312,Moderate
10.99085529881075,258.92827220729947,2,218.53914165918133,-92.90819136910088,17.571886941478503,0.04216034442995015,16-QAM,86.65353867559257,Medium,60.111715876687406,37.169731346741194,6,976.2225502469024,38.910057899529676,19.341834531232948,Poor
13.682099526511077,334.859473030518,3,550.1186032779908,-89.9960051316794,29.185660802075347,0.038060354498073455,16-QAM,73.32747042870888,High,62.67512356888158,63.99607558620956,7,780.2396342197367,99.45909874397553,2.2089753435338477,Poor
23.555278841790408,189.93167037797963,1,188.04966692510718,-73.25069307569925,7.223061472168439,0.033092198832462054,BPSK,62.74481352816556,Low,76.76767720651043,20.390591390679557,5,239.48075683963125,22.97226587692522,20.343579644143848,Poor
5.990213464750792,93.20553892553025,2,353.9233881328355,-79.58974297669063,16.9389149890795,0.024894748540298852,BPSK,87.20560453556982,Low,93.39513001354987,91.48456353151667,8,558.292995015222,47.637682265481885,19.785992378208544,Moderate
15.427033152408349,19.017607091299915,0,932.0447835343947,-71.94051254871755,6.560058006921766,0.00020847181070121634,16-QAM,96.58986009760318,Low,44.865086530221596,52.08308710196856,3,805.3632300215394,34.80931838064235,20.08841975005257,Poor
17.772437065861276,261.39054653418617,4,154.6297927753552,-74.24967833445628,20.755256559982122,0.030712033267548983,BPSK,57.926685244871976,High,35.85558405412327,62.74957090879893,4,572.1124289640364,81.930923102179,25.42059784047056,Poor
